address,amount
0x0000000000000000000000000000000000000000,-7e+24
0x0000000000000Eb4ec62758aaE93400B3E5f7f18,0.0
0x0000000000003f5e74C1ba8A66b48E6f3d71aE82,0.0
0x0000000000005117Dd3A72E64a705198753FDD54,0.0
0x0000000000007673393729D5618DC555FD13f9aA,0.0
0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,31004154920960.0
0x00000000000123685885532dcB685c442Dc83126,0.0
0x0000000000051666BBfBB42925C3eE5d50cF6B10,0.0
0x00000000000e1d0DABf7b7C7b68866fc940D0Db8,0.0
0x000000000029f5C1EEe7c85c30c0E40197fbeC9B,0.0
0x000000000035B5e5ad9019092C665357240f594e,0.0
0x00000000003b3cc22aF3aE1EAc0440BcEe416B40,6373085544448.0
0x0000000000790B928B2BA74D7F53a2079e6A131F,0.0
0x0000000000A81071B9a5F621BAcd53bA8bB9B890,0.0
0x0000000000C1a25dC67e6ae3556d3ce0F021D67E,0.0
0x0000000000Fbcaf22009Ef39f5316BC58D9728aA,0.0
0x0000000000a1c7212A1C129512d80EB30D14dC08,0.0
0x0000000000d1d773661E4B2102bBe07D4DcDe777,0.0
0x0000000000d41C96294CCdaC8612Bdfe29C641aF,0.0
0x000000000dFDe7deaF24138722987c9a6991e2D4,2146494057562112.0
0x000000000f4141775240685A4E005ed819846840,37535992332288.0
0x00000000500e2fece27a7600435d0C48d64E0C00,1.0
0x000000005736775Feb0C8568e7DEe77222a26880,0.0
0x000000005804B22091aa9830E50459A15E7C9241,0.0
0x0000000089341e263B85D84A0Eea39f47C37A9d2,0.0
0x0000000096B674bB0ea9c74C28BE782Bb48724de,0.0
0x0000000099cB7fC48a935BcEb9f05BbaE54e8987,0.0
0x00000000B2Ff98680adAF8A3e382176BbFC34C8F,0.0
0x00000000B65e5aE3c80A89f73fbCFDeABc3c2c06,0.0
0x00000000C2Cf7648c169b25ef1C217864bFa38cC,0.0
0x00000000C9fDd743C60055c0e4ea30D266272C1F,0.0
0x00000000a1F2d3063Ed639d19a6A56be87E25B1a,0.0
0x00000000b7ca7E12DCC72290d1FE47b2EF14c607,0.0
0x00000003243ffabd3a3895cf83192AEe1B2cDE31,0.0
