address,amount,event,timestamp,year,month
0x0691f5804d4227925F19b031821b530b48FFf38f,2e+18,Staked,2021-06-30 18:07:37,2021,6
0xd21B6b2Ae0254060044024dC7E6929E8E08f07B9,1.0529192084720466e+20,Staked,2021-06-30 18:08:08,2021,6
0x94D9Cd17d85d2AfA8D71283d94386281f16612Bd,1.415e+21,Staked,2021-06-30 18:09:01,2021,6
0xc23d5E09c9e7103815EC90ab5eD61c955e002967,2e+20,Staked,2021-06-30 18:15:05,2021,6
0x59918B6b1133cD56Bbae19A6Bca45fDE1f269dbE,1.3310056e+19,Staked,2021-06-30 18:16:44,2021,6
0xa4A207E52dea3210A41D65E3f22B04b412Fe2b07,6.125e+19,Staked,2021-06-30 18:16:44,2021,6
0x8445165437cB63AffB2f143378D0eC63e0249582,2.53e+20,Staked,2021-06-30 18:17:45,2021,6
0x7D8452F7C9121b5884E3A6f17aA8F9D535a86A40,3.5e+20,Staked,2021-06-30 18:19:30,2021,6
0x4e83c8F915b948453E026bDCF7cfe2e1781b5Bfa,6e+20,Staked,2021-06-30 18:20:35,2021,6
0xE5CA795F807033335C18E0b4BeF87c8AE0ec008b,4.05e+20,Staked,2021-06-30 18:22:33,2021,6
0xcfB04ccf17B33861Dd3Be2427eDf38285c0Fe46A,7.342738482745813e+18,Staked,2021-06-30 18:22:33,2021,6
0x94D9Cd17d85d2AfA8D71283d94386281f16612Bd,5.32e+20,Staked,2021-06-30 18:22:45,2021,6
0x3142Df79ECC79053F62C7F850A80E96753569Ac5,1.2200515382457536e+20,Staked,2021-06-30 18:23:03,2021,6
0x6fAE1AEbB918cf5b3396c4f2D4Ef383032122aDC,5.351730512862834e+18,Staked,2021-06-30 18:27:34,2021,6
0xE19cA478A0aA0670Ee4C80d856ac10ADF8CAF449,1e+19,Staked,2021-06-30 18:28:02,2021,6
0x93598F69E41329e117D51E5F66Dd47cAc745F3Ed,4e+18,Staked,2021-06-30 18:28:02,2021,6
0x93598F69E41329e117D51E5F66Dd47cAc745F3Ed,4.2e+18,Staked,2021-06-30 18:28:02,2021,6
0x3Da6635b6037F9a9D4aC131932914020562A4c0f,3e+20,Staked,2021-06-30 18:28:05,2021,6
0xb57EB35D4818bF069EA917900d543651200dAeF2,2.5081226233481e+19,Staked,2021-06-30 18:29:31,2021,6
0x4e83c8F915b948453E026bDCF7cfe2e1781b5Bfa,2.65e+20,Staked,2021-06-30 18:29:31,2021,6
0xa823eB140b50E347aF846c88Adb1198B21C5de7C,1.3e+20,Staked,2021-06-30 18:29:50,2021,6
0xECB949c68C825650fD9D0Aebe0cd3796FD126e66,4.1739e+19,Staked,2021-06-30 18:31:37,2021,6
0xf4f0dF20Fa8e47A0CcF53a1A3Ab5E21a002053CF,1.93e+20,Staked,2021-06-30 18:31:57,2021,6
0x4e83c8F915b948453E026bDCF7cfe2e1781b5Bfa,2.0017e+20,Staked,2021-06-30 18:32:43,2021,6
0xE00A7Ee3d4De8ff97a99e37466Ed9821648dd3f3,1.5e+19,Staked,2021-06-30 18:32:43,2021,6
0x4085e9Fb679dD2f60C2E64afe9533107Fa1c18F2,6.530845268538619e+20,Staked,2021-06-30 18:35:05,2021,6
0x135f11a35B740779De673b24545134890f906689,8.47086734347666e+20,Staked,2021-06-30 18:36:32,2021,6
0x16aEf37752E2D9a70857eFE548F3838830365298,7.5778e+19,Staked,2021-06-30 18:37:02,2021,6
0xcD9E0fE98bfe8D06B52fF93aBF12b2a63FEd2bc8,5.831e+19,Staked,2021-06-30 18:38:29,2021,6
0xb225375Bb66c76C3820492db0dc96123e14432b2,1.4120313179593e+19,Staked,2021-06-30 18:39:41,2021,6
0x8aBc16e919C61D5863b34F920dfb4Dc4a97bF036,1.183867140503547e+19,Staked,2021-06-30 18:39:49,2021,6
0x2d83433Ecd080A43C5f21d928056F20AA2100A04,1.52744609383e+19,Staked,2021-06-30 18:43:05,2021,6
0x4Db180f14A91d3e01776DB3cA2993676543C2A06,5e+19,Staked,2021-06-30 18:46:24,2021,6
0x3011F81764Ea2d566EFbf24AbcBBe4876eCC73Db,4.135224885376738e+19,Staked,2021-06-30 18:47:21,2021,6
0x058495c39818AbD52e39D8e6d6CC3754C6ce46e6,2.47e+20,Staked,2021-06-30 18:48:21,2021,6
0x3e17fac953DE2Cd729B0aCe7f6d4353387717e9e,5.31915350454124e+20,Staked,2021-06-30 18:48:43,2021,6
0x03Dc54Da70469dc3d53D4aF0AE43236B6ff4F2b7,6.13629607723875e+19,Staked,2021-06-30 18:48:49,2021,6
0x0691f5804d4227925F19b031821b530b48FFf38f,3.512127333091537e+18,Staked,2021-06-30 18:49:52,2021,6
0x3Da6635b6037F9a9D4aC131932914020562A4c0f,1.3e+20,Staked,2021-06-30 18:50:21,2021,6
0x86C7B9A6068E39FB0d17335f9E71EC3B42C46b21,1.2e+19,Staked,2021-06-30 18:50:21,2021,6
0x8B42d2b3Fbf1b28935612D644357C2C56d58de30,5e+19,Staked,2021-06-30 18:51:21,2021,6
0x4A3bb151ac39a46349Fd99f4C473A15a6a567d38,1.273e+21,Staked,2021-06-30 18:52:29,2021,6
0x32B466947Abbda8Be79673D47bCEC899933E6827,6.6e+19,Staked,2021-06-30 18:52:29,2021,6
0xbdBB6DBBDBAEe488B19704b21BA1444C941fF68F,1.11e+20,Staked,2021-06-30 18:53:46,2021,6
0x5c688D7D370FC1C961CE58A41B6175e96Bd35E84,6.91285671047285e+20,Staked,2021-06-30 18:54:14,2021,6
0x4cDAD6b8aFF4907E84dD42550b97c669aCAC3b0f,6.5e+19,Staked,2021-06-30 18:55:37,2021,6
0x81dC8ae23D0E9509539100E242B96d2dEcF19Af5,2.15325489e+19,Staked,2021-06-30 18:55:47,2021,6
0xB6da110659ef762a381cf2D6F601Eb19b5f5d51e,3e+19,Staked,2021-06-30 18:59:41,2021,6
0xCbe2c22413Bc89E11D9854E90104EE098eAee61E,4.2612e+20,Staked,2021-06-30 19:02:43,2021,6
0x9713222695378e27511779Ba00b7cBF178120371,9.91e+18,Staked,2021-06-30 19:04:27,2021,6
0x8bb443c2BDD6B630Cd391a11538B27D1ab4f712b,5.25e+18,Staked,2021-06-30 19:05:04,2021,6
0xdfd6Fe61C2d772c13f8a23502260B80DCBaDa151,3e+19,Staked,2021-06-30 19:05:41,2021,6
